Date,Price,Open,High,Low,Vol.,Change %
06-09-2023,257.5,261,261.8,254.65,9.25M,-0.37%
05-09-2023,258.45,260.8,262.5,255.65,14.99M,-0.27%
04-09-2023,259.15,257.95,262.3,255.1,18.77M,1.49%
01-09-2023,255.35,246.75,255.95,246.1,28.05M,4.18%
31-08-2023,245.1,248.65,249.75,244.25,11.64M,-0.91%
30-08-2023,247.35,248,250.5,246.9,8.23M,0.18%
29-08-2023,246.9,245,248.5,244.95,7.27M,0.80%
28-08-2023,244.95,246.15,246.9,243.7,7.40M,-0.26%
25-08-2023,245.6,249.65,251.7,243.4,15.08M,-1.66%
24-08-2023,249.75,247,252.8,246.5,28.70M,1.69%
23-08-2023,245.6,244.65,248.5,243.5,23.01M,0.86%
22-08-2023,243.5,242,244.1,239.6,22.42M,1.73%
21-08-2023,239.35,230.65,240.4,230.1,14.52M,4.02%
18-08-2023,230.1,232.5,233.5,229.6,6.81M,-1.03%
17-08-2023,232.5,234.95,235.85,231.9,6.54M,-1.04%
16-08-2023,234.95,230,235.5,228.05,6.72M,1.64%
14-08-2023,231.15,236,236.15,229.1,10.73M,-2.14%
11-08-2023,236.2,238.05,238.35,235.15,6.88M,-0.40%
10-08-2023,237.15,236,241.7,233.5,25.16M,0.96%
09-08-2023,234.9,237,237,232,10.52M,0.43%
08-08-2023,233.9,234.5,236.65,230.5,9.46M,0.47%
07-08-2023,232.8,236.9,237,232.2,7.29M,-1.21%
04-08-2023,235.65,237,237.35,234.5,7.71M,0.08%
03-08-2023,235.45,235.25,237.6,232.55,10.78M,-0.13%
02-08-2023,235.75,244.7,244.7,233.3,22.64M,-3.54%
01-08-2023,244.4,237.4,245.4,236.25,27.54M,3.25%
31-07-2023,236.7,236.55,238.9,235.2,18.68M,0.87%
28-07-2023,234.65,220.9,237.2,220,57.65M,6.22%
27-07-2023,220.9,222.25,222.55,220.5,7.85M,-0.27%
26-07-2023,221.5,220.4,222.4,219.8,8.51M,0.93%
25-07-2023,219.45,217.5,220.5,217.5,7.60M,0.97%
24-07-2023,217.35,218.25,218.75,216.8,4.39M,-0.02%
21-07-2023,217.4,218.15,219.2,216.75,5.72M,-0.34%
20-07-2023,218.15,219.8,220.65,217.75,6.91M,-0.62%
19-07-2023,219.5,221.4,221.4,217.5,14.48M,-0.90%
18-07-2023,221.5,224.2,224.3,220.75,6.70M,-0.89%
17-07-2023,223.5,221.95,224.7,221.25,7.07M,1.11%
14-07-2023,221.05,222.75,222.75,218.55,10.19M,-0.36%
13-07-2023,221.85,227,227.2,220.9,9.39M,-1.97%
12-07-2023,226.3,226.25,227.25,225.2,7.37M,0.35%
11-07-2023,225.5,226,226.85,224.7,5.16M,0.22%
10-07-2023,225,229.25,229.25,224.65,7.14M,-1.32%
07-07-2023,228,229.8,232.35,226.1,16.59M,-0.70%
06-07-2023,229.6,225,230.3,223.55,30.89M,3.56%
05-07-2023,221.7,220.95,223.75,220.55,5.88M,0.48%
04-07-2023,220.65,222.1,223.3,220.2,4.60M,-0.56%
03-07-2023,221.9,222.9,224.2,221.6,5.79M,0.02%
30-06-2023,221.85,219.7,222.5,218.85,9.94M,1.74%
28-06-2023,218.05,219.95,220.95,217.55,8.35M,-0.55%
27-06-2023,219.25,218.9,220.5,218.6,4.69M,0.30%
26-06-2023,218.6,218.3,219.35,216.3,5.14M,0.14%
23-06-2023,218.3,222,222.1,215.7,10.89M,-1.27%
22-06-2023,221.1,224.85,225.15,220.5,6.86M,-1.43%
21-06-2023,224.3,225.25,226,222.6,6.99M,-0.29%
20-06-2023,224.95,223.1,226.35,222.6,11.22M,0.81%
19-06-2023,223.15,223,224.15,221,7.47M,0.40%
16-06-2023,222.25,221.9,223.7,220.9,7.14M,0.75%
15-06-2023,220.6,224.4,224.65,220.15,7.67M,-1.58%
14-06-2023,224.15,222.5,225.25,221.55,10.51M,1.06%
13-06-2023,221.8,221.5,222.8,220.85,6.25M,0.38%
12-06-2023,220.95,221.95,223.55,220.35,6.34M,-0.11%
09-06-2023,221.2,224.6,224.6,220.2,11.05M,0.25%
08-06-2023,220.65,218.95,226.2,218.45,31.06M,1.01%
07-06-2023,218.45,216.6,219.65,214.1,11.39M,0.78%
06-06-2023,216.75,219.8,219.8,215.55,8.30M,-1.05%
05-06-2023,219.05,217,219.4,216.15,8.69M,1.58%
02-06-2023,215.65,216.4,216.9,215,4.91M,0.16%
01-06-2023,215.3,213.95,217,213,6.32M,0.82%
31-05-2023,213.55,216.9,219,212.9,11.30M,-1.54%
30-05-2023,216.9,218,218.45,215,11.98M,-0.05%
29-05-2023,217,213,217.7,211.7,12.96M,2.26%
26-05-2023,212.2,212.25,213.8,210.65,8.48M,0.66%
25-05-2023,210.8,207.2,211.2,206.55,8.71M,1.76%
24-05-2023,207.15,206.65,208,205.55,5.45M,0.12%
