"Date","Price","Open","High","Low","Vol.","Change %"
"15-04-2024","735.35","740.00","745.50","723.05","1.36M","-2.08%"
"12-04-2024","750.95","732.20","753.90","731.15","2.32M","2.00%"
"10-04-2024","736.25","700.00","744.95","699.95","5.20M","5.22%"
"09-04-2024","699.70","711.20","717.25","697.20","1.40M","-0.72%"
"08-04-2024","704.80","695.80","710.70","687.00","1.46M","1.20%"
"05-04-2024","696.45","690.50","700.00","683.65","630.07K","0.66%"
"04-04-2024","691.85","693.95","701.90","686.00","726.04K","-0.30%"
"03-04-2024","693.95","683.65","700.00","678.00","897.00K","1.43%"
"02-04-2024","684.15","686.30","695.00","682.05","985.12K","-0.31%"
"01-04-2024","686.30","667.00","689.70","666.15","1.00M","3.12%"
"28-03-2024","665.55","655.20","670.50","653.00","1.40M","1.11%"
"27-03-2024","658.25","655.10","661.00","653.50","1.50M","0.27%"
"26-03-2024","656.50","645.00","661.95","645.00","627.10K","0.18%"
"22-03-2024","655.30","649.20","658.55","645.20","795.73K","1.05%"
"21-03-2024","648.50","640.00","650.90","640.00","681.21K","2.11%"
"20-03-2024","635.10","636.00","645.75","632.70","769.37K","-0.10%"
"19-03-2024","635.75","644.95","646.35","632.30","561.99K","-1.49%"
"18-03-2024","645.35","633.05","648.95","633.05","649.21K","1.65%"
"15-03-2024","634.90","646.90","646.90","628.50","1.03M","-1.70%"
"14-03-2024","645.90","616.00","648.15","606.55","1.43M","4.19%"
"13-03-2024","619.90","646.85","653.50","610.80","1.70M","-4.17%"
"12-03-2024","646.85","655.00","659.75","644.55","674.78K","-1.22%"
"11-03-2024","654.85","665.35","667.00","648.45","1.07M","-1.59%"
"07-03-2024","665.40","649.00","670.75","648.15","1.13M","1.81%"
"06-03-2024","653.55","657.50","662.00","638.25","1.12M","-1.28%"
"05-03-2024","662.05","668.00","672.85","661.00","656.54K","-0.01%"
"04-03-2024","662.10","675.30","678.00","660.55","502.33K","-2.06%"
"02-03-2024","676.00","672.90","680.00","672.90","92.39K","0.41%"
"01-03-2024","673.25","665.00","678.35","663.05","1.01M","2.64%"
"29-02-2024","655.95","650.00","661.00","642.85","1.87M","1.15%"
"28-02-2024","648.50","670.95","676.00","646.00","1.06M","-3.18%"
"27-02-2024","669.80","679.10","679.35","667.00","983.66K","-0.38%"
"26-02-2024","672.35","674.00","680.70","665.10","950.61K","-0.29%"
"23-02-2024","674.30","685.50","689.50","671.00","898.10K","-1.31%"
"22-02-2024","683.25","689.90","694.85","678.05","1.38M","-0.60%"
"21-02-2024","687.40","709.50","712.00","682.45","2.36M","-2.34%"
"20-02-2024","703.90","682.35","709.00","682.00","2.20M","2.16%"
"19-02-2024","689.05","695.25","697.25","680.60","962.46K","-0.89%"
"16-02-2024","695.25","687.00","710.50","683.20","2.85M","1.95%"
"15-02-2024","681.95","672.00","688.00","670.05","1.45M","2.12%"
"14-02-2024","667.80","651.00","670.00","648.50","901.02K","0.75%"
"13-02-2024","662.85","675.00","675.00","649.55","2.72M","-1.67%"
"12-02-2024","674.10","667.05","702.10","663.40","8.24M","1.62%"
"09-02-2024","663.35","639.00","666.00","623.00","6.13M","4.71%"
"08-02-2024","633.50","668.50","672.25","631.30","1.60M","-4.96%"
"07-02-2024","666.55","664.00","674.00","657.00","1.70M","0.98%"
"06-02-2024","660.05","642.75","665.50","642.55","1.62M","2.52%"
"05-02-2024","643.80","643.00","651.55","639.05","1.20M","-0.14%"
"02-02-2024","644.70","649.90","650.60","641.20","524.18K","0.20%"
"01-02-2024","643.40","659.10","659.60","640.00","771.29K","-2.38%"
"31-01-2024","659.10","634.00","660.00","631.00","1.51M","4.03%"
"30-01-2024","633.55","642.00","651.50","631.15","1.00M","-1.37%"
"29-01-2024","642.35","638.15","646.00","634.00","995.45K","1.30%"
"25-01-2024","634.10","646.45","647.45","630.00","1.08M","-1.84%"
"24-01-2024","646.00","644.00","650.80","634.85","1.27M","0.56%"
"23-01-2024","642.40","676.00","677.30","636.80","2.41M","-4.14%"
"20-01-2024","670.15","684.60","688.95","659.05","3.27M","-1.29%"
"19-01-2024","678.90","617.45","691.75","614.80","15.01M","11.00%"
"18-01-2024","611.60","601.05","633.50","601.05","9.85M","4.90%"
"17-01-2024","583.05","594.95","600.75","580.15","1.68M","-2.87%"
"16-01-2024","600.25","612.00","617.80","594.30","1.66M","-1.94%"
"15-01-2024","612.15","619.00","619.60","604.95","1.07M","-0.71%"
"12-01-2024","616.55","620.00","630.80","614.75","1.92M","-0.56%"
"11-01-2024","620.00","606.00","622.55","606.00","1.58M","2.72%"
"10-01-2024","603.60","604.00","607.40","597.20","666.82K","0.06%"
"09-01-2024","603.25","604.50","609.40","598.10","1.37M","0.75%"
"08-01-2024","598.75","629.00","629.00","597.00","4.13M","-4.85%"
"05-01-2024","629.30","647.85","649.05","622.00","1.83M","-2.34%"
"04-01-2024","644.40","653.55","656.20","643.00","1.80M","-1.23%"
"03-01-2024","652.45","655.95","656.80","643.50","1.16M","-0.49%"
"02-01-2024","655.65","655.00","661.15","645.25","2.08M","0.60%"
"01-01-2024","651.75","653.70","656.85","648.35","1.54M","0.33%"
"29-12-2023","649.60","648.00","661.50","643.05","3.94M","1.56%"
"28-12-2023","639.65","645.00","650.75","638.10","2.55M","-0.94%"
"27-12-2023","645.75","636.00","649.65","626.25","6.23M","2.00%"
"26-12-2023","633.10","600.00","635.00","599.40","4.81M","5.77%"
"22-12-2023","598.55","599.00","602.35","593.20","1.59M","0.90%"
"21-12-2023","593.20","567.05","594.40","558.10","2.04M","3.42%"
"20-12-2023","573.60","612.65","616.00","570.00","3.13M","-5.80%"
"19-12-2023","608.90","606.40","614.40","603.05","2.95M","1.07%"
"18-12-2023","602.45","596.40","604.25","590.55","2.48M","1.90%"
"15-12-2023","591.20","579.55","596.00","576.20","3.64M","3.01%"
"14-12-2023","573.95","573.90","577.00","567.90","1.24M","0.57%"
"13-12-2023","570.70","569.05","572.60","564.00","680.68K","0.55%"
"12-12-2023","567.60","575.00","583.75","565.45","962.79K","-0.93%"
"11-12-2023","572.90","569.10","575.75","568.00","728.71K","0.62%"
"08-12-2023","569.35","575.35","579.40","560.00","1.42M","-1.04%"
"07-12-2023","575.35","578.20","580.00","569.05","1.63M","-0.06%"
"06-12-2023","575.70","572.95","586.80","571.50","3.10M","1.46%"
"05-12-2023","567.40","564.90","573.00","558.20","2.31M","0.90%"
"04-12-2023","562.35","564.00","569.25","556.00","2.33M","1.64%"
"01-12-2023","553.30","558.00","561.00","546.20","2.87M","-0.19%"
"30-11-2023","554.35","562.00","570.70","551.45","4.20M","-0.88%"
"29-11-2023","559.25","530.25","563.00","529.20","6.77M","5.51%"
"28-11-2023","530.05","535.25","535.25","528.00","721.14K","-0.26%"
"24-11-2023","531.45","529.75","536.30","529.75","956.74K","0.32%"
"23-11-2023","529.75","523.90","536.60","520.55","1.92M","1.66%"
"22-11-2023","521.10","521.85","524.70","518.65","632.62K","0.00%"
"21-11-2023","521.10","519.65","525.45","518.20","756.17K","0.77%"
"20-11-2023","517.10","526.00","529.00","515.55","867.77K","-1.83%"
"17-11-2023","526.75","525.30","532.55","522.15","1.41M","0.29%"
"16-11-2023","525.25","525.80","534.80","522.30","2.15M","0.50%"
"15-11-2023","522.65","522.00","524.45","518.00","1.36M","0.92%"
"13-11-2023","517.90","519.80","520.30","514.75","974.72K","-0.13%"
"12-11-2023","518.60","524.50","524.50","516.45","780.30K","1.46%"
"10-11-2023","511.15","508.35","512.00","501.85","806.07K","0.56%"
"09-11-2023","508.30","515.00","515.75","507.45","965.93K","-1.30%"
"08-11-2023","515.00","509.00","517.90","504.90","2.20M","1.19%"
"07-11-2023","508.95","499.00","511.70","498.75","3.13M","-0.21%"
"06-11-2023","510.00","479.95","513.70","475.00","14.78M","10.74%"
"03-11-2023","460.55","460.00","464.05","458.80","518.34K","0.88%"
"02-11-2023","456.55","450.05","458.05","449.30","526.57K","1.95%"
"01-11-2023","447.80","455.05","455.95","446.00","625.53K","-1.46%"
"31-10-2023","454.45","457.80","461.70","453.10","564.12K","-0.62%"
"30-10-2023","457.30","455.00","458.85","450.40","630.64K","0.88%"
"27-10-2023","453.30","445.40","454.90","445.15","747.11K","2.43%"
"26-10-2023","442.55","452.90","452.90","438.00","1.44M","-2.07%"
"25-10-2023","451.90","458.00","461.45","445.90","1.18M","-0.95%"
"23-10-2023","456.25","472.00","475.00","454.00","1.07M","-3.45%"
"20-10-2023","472.55","478.95","481.80","472.00","647.82K","-1.62%"
"19-10-2023","480.35","483.30","483.30","477.55","541.91K","-1.07%"
"18-10-2023","485.55","487.15","491.95","482.60","894.28K","-0.66%"
"17-10-2023","488.80","493.35","494.90","486.10","767.03K","-0.37%"
