"Date","Price","Open","High","Low","Vol.","Change %"
"10-08-2022","219.85","215.85","220.45","215.45","14.27M","2.07%"
"08-08-2022","215.40","209.50","216.15","207.05","16.36M","3.33%"
"05-08-2022","208.45","207.50","210.25","205.75","32.00M","0.63%"
"04-08-2022","207.15","212.15","213.45","206.15","8.06M","-2.33%"
"03-08-2022","212.10","214.95","214.95","208.80","9.95M","-1.46%"
"02-08-2022","215.25","213.00","217.25","211.65","12.62M","1.18%"
"01-08-2022","212.75","212.50","213.70","209.80","7.85M","0.71%"
"29-07-2022","211.25","203.60","212.45","203.25","12.48M","4.14%"
"28-07-2022","202.85","204.00","205.00","201.35","5.10M","-0.29%"
"27-07-2022","203.45","202.40","204.70","201.80","7.34M","0.57%"
"26-07-2022","202.30","201.45","203.30","199.55","12.85M","0.70%"
"25-07-2022","200.90","197.50","201.70","194.60","10.21M","1.93%"
"22-07-2022","197.10","198.60","199.85","196.80","4.84M","-0.76%"
"21-07-2022","198.60","197.85","199.45","196.30","6.17M","0.38%"
"20-07-2022","197.85","199.60","200.40","197.40","5.52M","-0.20%"
"19-07-2022","198.25","194.95","199.60","194.00","9.91M","1.35%"
"18-07-2022","195.60","194.50","196.90","193.85","7.60M","1.14%"
"15-07-2022","193.40","193.00","193.90","189.40","5.61M","0.73%"
"14-07-2022","192.00","194.00","195.45","190.30","6.80M","-0.75%"
"13-07-2022","193.45","193.90","196.15","193.00","7.84M","-0.23%"
"12-07-2022","193.90","192.80","195.30","192.10","6.94M","0.28%"
"11-07-2022","193.35","188.95","194.30","187.80","9.05M","1.87%"
"08-07-2022","189.80","187.05","191.90","187.05","14.65M","2.04%"
"07-07-2022","186.00","183.95","186.60","181.45","6.32M","2.37%"
"06-07-2022","181.70","182.50","182.85","178.00","9.37M","-0.41%"
"05-07-2022","182.45","183.00","185.20","181.75","5.31M","0.22%"
"04-07-2022","182.05","183.25","185.70","179.10","8.78M","-0.65%"
"01-07-2022","183.25","185.00","186.15","176.60","17.25M","-1.27%"
"30-06-2022","185.60","188.10","189.00","182.55","8.69M","-1.67%"
"29-06-2022","188.75","186.00","190.25","183.65","16.86M","1.26%"
"28-06-2022","186.40","181.15","186.95","180.75","9.84M","2.39%"
"27-06-2022","182.05","180.00","182.80","177.45","7.06M","3.12%"
"24-06-2022","176.55","178.65","180.40","174.80","8.17M","-0.34%"
"23-06-2022","177.15","180.30","182.00","174.85","9.30M","-1.23%"
"22-06-2022","179.35","184.75","184.75","179.00","6.56M","-2.95%"
"21-06-2022","184.80","178.00","185.65","178.00","7.56M","4.50%"
"20-06-2022","176.85","181.90","181.90","174.75","23.28M","-3.18%"
"17-06-2022","182.65","180.00","184.85","179.40","15.22M","1.53%"
"16-06-2022","179.90","191.55","192.80","179.10","14.49M","-5.34%"
"15-06-2022","190.05","192.15","193.85","189.15","5.81M","-1.12%"
