TRANSACTION TYPE,DATE,EXCHANGE / CORPORATE ACTION,ACTION,PRODUCT TYPE,QTY,TRANSACTION PRICE,VALUE AT COST(Incl. addnl charges),REMARKS,STT,ADDITIONAL CHARGES
TRADE,20-FEB-2024,NSE,Buy,CASH,5,97.92,505,,0.49,14.53
TRADE,20-FEB-2024,NSE,Buy,CASH,37,97.92,3638,,3.62,11.36
TRADE,20-FEB-2024,NSE,Buy,CASH,3,97.92,295,,0.29,0.91
TRADE,20-FEB-2024,NSE,Buy,CASH,7,97.92,690,,0.69,3.62
TRADE,06-FEB-2024,NSE,Buy,CASH,75,96.96,7310,,7.27,30.87
TRADE,31-JAN-2024,NSE,Buy,CASH,17,96.9,1669,,1.65,20.37
TRADE,31-JAN-2024,NSE,Buy,CASH,12,96.9,1168,,1.16,3.65
TRADE,31-JAN-2024,NSE,Buy,CASH,21,96.9,2043,,2.03,6.39
CORPORATE ACTION,30-JAN-2024,DIV,Buy,CASH,4800,3,14400,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 30-JAN-2024,0,0
TRADE,29-DEC-2023,NSE,Buy,CASH,130,96,12532,,12.48,39.16
TRADE,21-DEC-2023,NSE,Buy,CASH,60,94.97,5734,,5.7,30.57
TRADE,18-DEC-2023,NSE,Buy,CASH,3,94.48,285,,0.28,0.89
TRADE,18-DEC-2023,NSE,Buy,CASH,31,94.48,2951,,2.93,19.18
TRADE,18-DEC-2023,NSE,Buy,CASH,36,94.48,3415,,3.4,10.67
TRADE,05-DEC-2023,NSE,Buy,CASH,20,95.86,1925,,1.92,6.01
TRADE,05-DEC-2023,NSE,Buy,CASH,100,95.86,9626,,9.59,30.07
TRADE,30-NOV-2023,NSE,Buy,CASH,100,94.95,9536,,9.49,31.26
TRADE,28-NOV-2023,NSE,Buy,CASH,100,98,9841,,9.8,31.32
TRADE,16-NOV-2023,NSE,Buy,CASH,100,98.48,9889,,9.85,31.34
CORPORATE ACTION,13-NOV-2023,DIV,Buy,CASH,4120,3,12360,Interim-Dividend of Rs.3.0000/- per share on Ex-Date: 13-NOV-2023,0,0
TRADE,10-NOV-2023,NSE,Buy,CASH,100,99.98,10039,,10,31.36
TRADE,02-NOV-2023,NSE,Buy,CASH,100,98.14,9855,,9.81,31.35
TRADE,26-OCT-2023,NSE,Buy,CASH,70,99.5,7003,,6.96,30.8
TRADE,04-OCT-2023,NSE,Buy,CASH,50,100.2,5045,,5.01,30.45
TRADE,29-SEP-2023,NSE,Buy,CASH,100,103.48,10391,,10.35,32.46
TRADE,26-SEP-2023,NSE,Buy,CASH,100,105,10544,,10.5,32.95
TRADE,15-SEP-2023,NSE,Buy,CASH,100,106.35,10679,,10.63,33.37
TRADE,12-SEP-2023,NSE,Buy,CASH,16,106.8,1716,,1.71,5.36
TRADE,12-SEP-2023,NSE,Buy,CASH,22,106.8,2359,,2.35,7.36
TRADE,12-SEP-2023,NSE,Buy,CASH,11,106.8,1180,,1.17,3.7
TRADE,12-SEP-2023,NSE,Buy,CASH,17,106.8,1823,,1.82,5.69
TRADE,12-SEP-2023,NSE,Buy,CASH,17,106.8,1823,,1.82,5.69
TRADE,12-SEP-2023,NSE,Buy,CASH,17,106.8,1823,,1.82,5.69
TRADE,07-SEP-2023,NSE,Buy,CASH,100,109,10945,,10.9,34.2
