"Date","Price","Open","High","Low","Vol.","Change %"
"16-01-2024","353.45","358.95","360.70","349.00","14.13M","-1.52%"
"15-01-2024","358.90","359.65","360.20","353.00","12.87M","0.32%"
"12-01-2024","357.75","361.65","361.85","356.55","20.93M","0.13%"
"11-01-2024","357.30","349.45","360.00","347.85","33.50M","3.13%"
"10-01-2024","346.45","342.20","348.75","340.75","23.43M","1.84%"
"09-01-2024","340.20","341.65","344.85","338.05","14.50M","0.37%"
"08-01-2024","338.95","344.00","344.00","337.35","14.55M","-0.53%"
"05-01-2024","340.75","339.35","349.70","336.15","37.56M","0.86%"
"04-01-2024","337.85","326.80","340.80","326.80","26.97M","3.41%"
"03-01-2024","326.70","329.60","329.60","324.85","9.95M","-0.95%"
"02-01-2024","329.85","331.70","332.70","319.60","15.69M","-0.14%"
"01-01-2024","330.30","333.90","335.85","328.15","10.10M","-0.56%"
"29-12-2023","332.15","330.10","336.00","326.05","19.91M","0.71%"
"28-12-2023","329.80","326.60","331.00","324.00","16.18M","1.52%"
"27-12-2023","324.85","327.05","329.90","321.65","10.35M","-0.17%"
"26-12-2023","325.40","328.55","331.40","325.00","11.31M","-0.38%"
"22-12-2023","326.65","331.00","332.00","323.55","15.18M","-0.58%"
"21-12-2023","328.55","318.00","330.70","312.70","26.39M","2.62%"
"20-12-2023","320.15","336.70","346.90","318.00","40.68M","-4.69%"
"19-12-2023","335.90","338.50","338.50","330.45","11.71M","-0.34%"
"18-12-2023","337.05","339.00","340.30","334.40","15.56M","1.16%"
"15-12-2023","333.20","337.40","338.50","331.80","17.08M","-0.66%"
"14-12-2023","335.40","340.90","341.90","335.00","16.56M","-0.81%"
"13-12-2023","338.15","332.10","340.50","329.75","33.63M","2.22%"
"12-12-2023","330.80","335.00","335.00","327.60","22.63M","-0.85%"
"11-12-2023","333.65","325.40","335.30","322.35","40.35M","3.12%"
"08-12-2023","323.55","331.95","335.95","318.10","74.99M","-0.69%"
"07-12-2023","325.80","295.00","332.15","292.15","152.38M","10.76%"
"06-12-2023","294.15","281.55","298.60","280.20","45.93M","4.49%"
"05-12-2023","281.50","283.00","283.20","276.50","21.57M","-0.02%"
"04-12-2023","281.55","285.00","286.00","278.90","28.89M","2.01%"
"01-12-2023","276.00","270.00","278.50","268.55","32.16M","3.02%"
"30-11-2023","267.90","273.00","273.00","265.10","20.40M","-2.01%"
"29-11-2023","273.40","275.00","275.70","271.50","26.39M","0.96%"
"28-11-2023","270.80","259.40","271.40","258.50","24.75M","4.90%"
"24-11-2023","258.15","261.40","261.90","257.05","7.15M","-1.00%"
